issue_id,5116,
pull_request_id ,5118,
reporter,jtorniainen,
report_time,2015/8/6,
fixed_time,2015/8/6,
commit_hash,ba4b1ed4459118c193d7474e2cc2278da1c081ca,
commit_author,argriffing ,
version,0.16.0,
target_milestone,0.17.0,
priority,middle,
root_cause,semantic-,
component,core,
impact,Incrrect functionality,
fix_difficulty,easy,
lables,scipy.signal,
affected_files,scipy/signal/signaltools.py,scipy/signal/tests/test_signaltools.py
description,BUG: FIR path failed if len(x) < len(b) in lfilter.,
tool_used,no,
tested,yes（test_signaltools.py进行regression test）,
fix_pattern,,
discussion,,
情况考虑不周全，x长度小于b的时候，没法正确处理。,,
